userhandle,kokil_ideology,relevance_kw,relevance_delib,barbera_ideology
alt_uscis,0.00329526708679425,0.0292304633127859,0.0663977711613321,-1.64485362695147
altonbrown,0.00438907468421674,0,0.0841769565448714,0
aly_raisman,0.00493710357705433,0.00143146844804962,0.108232850112828,-1.22652812003661
alyankovic,0.00391621513501218,0.00283065993228618,0.0895642714196591,-1.88079360815125
alyssa_milano,0.00372042796865935,0.0313404448854709,0.0894857754535388,0.553384719555673
amarch4ourlives,0.00395681798617541,0.0232803153887983,0.0931333062626601,0.150969215496777
amazingphil,0.00357961324676315,0.00185816042118303,0.0454920614048233,0
amazon,0.00354965455891421,0,0.0865877344736961,0
ambnikkihaley,0.00305338942810932,0.0172729185890276,0.0931246118072132,1.2815515655446
amjoyshow,0.00369730027278908,0.0408901755020807,0.104763116503204,0.467698799114508
amnestyusa,0.00352997542770584,0.0336368425013169,0.0890264166198379,-1.75068607125217
amy_siskind,0.00335489002426175,0.0466465796228099,0.0789320075852523,0.772193214188685
amyklobuchar,0.0024104250202059,0.0493055555555556,0.0796749901021357,0.841621233572914
amyschumer,0.00545054846241411,0.00615228720324262,0.119556076489106,-1.64485362695147
ananavarro,0.00336384843038542,0.0265976827224368,0.0891712731607623,1.1263911290388
andersoncooper,0.00416609873651315,0.0114170475059769,0.103593780565067,1.1263911290388
andersonpaak,0.00511242682564227,0.00120192307692308,0.121606415367954,-0.915365087842814
andre,0.00433240454374824,0.00327604726100966,0.099241337614637,0.674489750196082
andrearussett,0.00408345744649774,4.05652085727807e-4,0.0823965818315321,-2.32634787404084
andrewgillum,0.00386988776351777,0.0332420436301823,0.095516561193344,-1.08031934081496
andrewmayne,0.0043034803121104696,0.00279057406094968,0.10882005701806,1.1263911290388
andrewzimmern,0.00267791821192117,0.0127413634572442,0.0676629844537377,-1.03643338949379
android,0.00384274373176698,2.96086720510586e-4,0.114665451862648,1.03643338949379
andy,0.00471861873899898,0.00493355613909445,0.113525191763068,-1.47579102817917
